States/UTs,Total,Total Male,Total Female,Rural Totals,Rural Males,Rural Females,Urban Totals,Urban Males,Urban Females
Andhra Pradesh,29,3,29,33,34,32,21,2,22
Assam,41,4,44,44,42,46,2,2,21
Bihar,32,3,35,32,3,35,3,26,34
Chhattisgarh,41,42,39,42,44,4,35,34,36
Delhi,13,14,12,8,16,0,13,14,12
Gujarat,28,29,27,33,34,32,2,21,19
Haryana,3,31,29,33,34,31,25,24,25
Jammu and Kashmir*,22,22,23,23,23,24,2,19,2
Jharkhand,3,27,34,31,28,35,26,24,28
Karnataka,23,21,25,25,23,26,2,18,22
Kerala,7,9,5,9,8,1,5,11,0
Madhya Pradesh,48,51,46,52,54,49,36,37,35
Maharashtra,19,19,19,24,23,25,14,14,13
Odisha,4,4,39,41,41,4,31,31,3
Punjab,2,21,2,21,21,21,19,2,19
Rajasthan,37,37,38,41,4,41,26,24,28
Tamil Nadu,15,16,14,18,19,17,12,13,12
Telangana,27,27,26,3,31,29,21,19,23
Uttar Pradesh,43,43,44,46,45,46,35,32,38
Uttarakhand,31,33,28,31,34,28,29,29,3
West Bengal,22,21,22,22,23,22,2,18,22
Arunachal Pradesh,37,31,43,,,,,,
Goa,7,8,7,,,,,,
Himachal Pradesh,19,19,2,,,,,,
Manipur,11,8,14,,,,,,
Meghalaya,33,34,31,,,,,,
Mizoram,5,2,9,,,,,,
Nagaland,4,3,6,,,,,,
Sikkim,7,6,8,,,,,,
Tripura,27,3,23,,,,,,
Andaman and Nicobar Islands,9,8,9,,,,,,
Chandigarh,13,12,14,,,,,,
Dadra and Nagar Haveli,13,11,15,,,,,,
Daman and Diu,16,17,16,,,,,,
Lakshadweep,14,15,13,,,,,,
Puducherry,11,1,12,,,,,,
India,32,32,33,36,36,36,23,22,23
