id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413126033033752576,1413126033033752576,2021-07-08 18:51:15 IST,2021-07-08,18:51:15,+0530,1228758322230128640,mezzala_10,H.,,Pedri sterling Pogba,in,[],[],[],1,0,6,[],[],https://twitter.com/mezzala_10/status/1413126033033752576,False,https://twitter.com/maramperninety/status/1413108370916118537,0,,,,,,,,[],,,,
1412517188980731906,1412516720347070465,2021-07-07 02:31:55 IST,2021-07-07,02:31:55,+0530,1228758322230128640,mezzala_10,H.,,"@Barca19stats The number is quite high for pedri too, I'd suspect?",en,[],[],[],1,0,0,[],[],https://twitter.com/mezzala_10/status/1412517188980731906,False,,0,,,,,,,,"[{'screen_name': 'Barca19stats', 'name': 'adil', 'id': '2375963952'}]",,,,
1412514670582263812,1412514670582263812,2021-07-07 02:21:55 IST,2021-07-07,02:21:55,+0530,1228758322230128640,mezzala_10,H.,,Pedri 0 misplaced passes,et,[],[],[],0,0,10,[],[],https://twitter.com/mezzala_10/status/1412514670582263812,False,,0,,,,,,,,[],,,,
1412501642990088195,1412501642990088195,2021-07-07 01:30:09 IST,2021-07-07,01:30:09,+0530,1228758322230128640,mezzala_10,H.,,"So are we now done with the ""pedri doesen't perform in big games"" narrative?",en,[],[],[],2,1,14,[],[],https://twitter.com/mezzala_10/status/1412501642990088195,False,,0,,,,,,,,[],,,,
1412498958203572227,1412498499279667213,2021-07-07 01:19:29 IST,2021-07-07,01:19:29,+0530,1228758322230128640,mezzala_10,H.,,@fasihiesta It's koke who has cancelled out veratti. But the busi-pedri-olmo triangle is running rings around the Italians.,en,[],[],[],1,0,1,[],[],https://twitter.com/mezzala_10/status/1412498958203572227,False,,0,,,,,,,,"[{'screen_name': 'fasihiesta', 'name': 'Fasih 🇵🇸', 'id': '1369109956503482369'}]",,,,
1412497468546158593,1412497468546158593,2021-07-07 01:13:34 IST,2021-07-07,01:13:34,+0530,1228758322230128640,mezzala_10,H.,,Commentators raving about pedri 😁,en,[],[],[],0,0,6,[],[],https://twitter.com/mezzala_10/status/1412497468546158593,False,,0,,,,,,,,[],,,,
1411711483881299968,1411709572319002625,2021-07-04 21:10:20 IST,2021-07-04,21:10:20,+0530,1228758322230128640,mezzala_10,H.,,@MigTocMatthew Wait till you see shouts to play him in midfield so that Pedri can get 'rest',en,[],[],[],1,1,4,[],[],https://twitter.com/mezzala_10/status/1411711483881299968,False,,0,,,,,,,,"[{'screen_name': 'MigTocMatthew', 'name': 'Matthew |Mbappé PD|', 'id': '1345731987542310912'}]",,,,
1411032922644107266,1411032922644107266,2021-07-03 00:13:59 IST,2021-07-03,00:13:59,+0530,1228758322230128640,mezzala_10,H.,,Lucho and Pedri gonna win it all!!,en,[],[],[],0,1,3,[],[],https://twitter.com/mezzala_10/status/1411032922644107266,False,,0,,,,,,,,[],,,,
1409551966779297794,1409551966779297794,2021-06-28 22:09:11 IST,2021-06-28,22:09:11,+0530,1228758322230128640,mezzala_10,H.,,Pedri started that btw. Amazing control,en,[],[],[],0,1,7,[],[],https://twitter.com/mezzala_10/status/1409551966779297794,False,,0,,,,,,,,[],,,,
1409546215184769031,1409546215184769031,2021-06-28 21:46:20 IST,2021-06-28,21:46:20,+0530,1228758322230128640,mezzala_10,H.,,Pedri assist bottled fark off,en,[],[],[],0,0,4,[],[],https://twitter.com/mezzala_10/status/1409546215184769031,False,,0,,,,,,,,[],,,,
1409379887576612864,1409379887576612864,2021-06-28 10:45:24 IST,2021-06-28,10:45:24,+0530,1228758322230128640,mezzala_10,H.,,"Pedri stocks growing by the day. Koke, Lucho, and Ini in the last 2 days itself.",en,[],[],[],0,0,8,[],[],https://twitter.com/mezzala_10/status/1409379887576612864,False,https://twitter.com/ReshadRahman_/status/1409283002899877895,0,,,,,,,,[],,,,
1407752721600372740,1407752721600372740,2021-06-23 22:59:38 IST,2021-06-23,22:59:38,+0530,1228758322230128640,mezzala_10,H.,,Thiago can't lace pedri's boots btw,en,[],[],[],0,0,3,[],[],https://twitter.com/mezzala_10/status/1407752721600372740,False,,0,,,,,,,,[],,,,
1407752392225869827,1407752392225869827,2021-06-23 22:58:19 IST,2021-06-23,22:58:19,+0530,1228758322230128640,mezzala_10,H.,,Pedri unreall,en,[],[],[],0,0,2,[],[],https://twitter.com/mezzala_10/status/1407752392225869827,False,,0,,,,,,,,[],,,,
1407746084949037062,1407745727132884992,2021-06-23 22:33:15 IST,2021-06-23,22:33:15,+0530,1228758322230128640,mezzala_10,H.,,@fasihiesta He was holding both pedri and Koke back,en,[],[],[],1,0,1,[],[],https://twitter.com/mezzala_10/status/1407746084949037062,False,,0,,,,,,,,"[{'screen_name': 'fasihiesta', 'name': 'Lio de Janeiro 🇵🇸', 'id': '1369109956503482369'}]",,,,
1407745727132884992,1407745727132884992,2021-06-23 22:31:50 IST,2021-06-23,22:31:50,+0530,1228758322230128640,mezzala_10,H.,,Pedri playing much higher up in busi's presence.,en,[],[],[],1,0,4,[],[],https://twitter.com/mezzala_10/status/1407745727132884992,False,https://twitter.com/BetweenThePosts/status/1407745085136121857,0,,,,,,,,[],,,,
1407742348725870592,1407742348725870592,2021-06-23 22:18:25 IST,2021-06-23,22:18:25,+0530,1228758322230128640,mezzala_10,H.,,Pedri 🥰🥰,es,[],[],[],0,0,3,[],[],https://twitter.com/mezzala_10/status/1407742348725870592,False,,0,,,,,,,,[],,,,
1407734888086704128,1407734888086704128,2021-06-23 21:48:46 IST,2021-06-23,21:48:46,+0530,1228758322230128640,mezzala_10,H.,,What a BALL pedri,en,[],[],[],0,0,7,[],[],https://twitter.com/mezzala_10/status/1407734888086704128,False,,0,,,,,,,,[],,,,
1406338834770452482,1406338834770452482,2021-06-20 01:21:21 IST,2021-06-20,01:21:21,+0530,1228758322230128640,mezzala_10,H.,,Pedri at 18 is La Roja's best midfielder lmao,en,[],[],[],0,0,11,[],[],https://twitter.com/mezzala_10/status/1406338834770452482,False,,0,,,,,,,,[],,,,
1406337281355489282,1406337281355489282,2021-06-20 01:15:11 IST,2021-06-20,01:15:11,+0530,1228758322230128640,mezzala_10,H.,,Pedri omdss,no,[],[],[],1,0,5,[],[],https://twitter.com/mezzala_10/status/1406337281355489282,False,,0,,,,,,,,[],,,,
1406193266337271809,1406193266337271809,2021-06-19 15:42:55 IST,2021-06-19,15:42:55,+0530,1228758322230128640,mezzala_10,H.,,He wants to be Pedri so bad,en,[],[],[],2,0,8,[],[],https://twitter.com/mezzala_10/status/1406193266337271809,False,https://twitter.com/GFFN/status/1406175215491629056,0,,,,,,,,[],,,,
1405977561528557570,1405977561528557570,2021-06-19 01:25:47 IST,2021-06-19,01:25:47,+0530,1228758322230128640,mezzala_10,H.,,Pedri so clear of Foden 👍,en,[],[],[],2,0,2,[],[],https://twitter.com/mezzala_10/status/1405977561528557570,False,,0,,,,,,,,[],,,,
1405608635670044674,1405608635670044674,2021-06-18 00:59:48 IST,2021-06-18,00:59:48,+0530,1228758322230128640,mezzala_10,H.,,De Jong and Pedri together next season. Cannot wait.,en,[],[],[],0,1,7,[],[],https://twitter.com/mezzala_10/status/1405608635670044674,False,,0,,,,,,,,[],,,,
1404742170314039297,1404498051838795782,2021-06-15 15:36:46 IST,2021-06-15,15:36:46,+0530,1228758322230128640,mezzala_10,H.,,@TheFootballInd Lol barca bottled the Liga because of Pedri? Sure thing.,en,[],[],[],1,0,0,[],[],https://twitter.com/mezzala_10/status/1404742170314039297,False,,0,,,,,,,,"[{'screen_name': 'TheFootballInd', 'name': 'The Football Index 🎙 ⚽', 'id': '1215246564706410498'}]",,,,
1404740050462535682,1404498051838795782,2021-06-15 15:28:21 IST,2021-06-15,15:28:21,+0530,1228758322230128640,mezzala_10,H.,,@TheFootballInd Pedri is at least 3 tiers above any other midfielder Barca have on the bench.,en,[],[],[],2,0,0,[],[],https://twitter.com/mezzala_10/status/1404740050462535682,False,,0,,,,,,,,"[{'screen_name': 'TheFootballInd', 'name': 'The Football Index 🎙 ⚽', 'id': '1215246564706410498'}]",,,,
1404541774601670656,1404541774601670656,2021-06-15 02:20:28 IST,2021-06-15,02:20:28,+0530,1228758322230128640,mezzala_10,H.,,Pedri 🙏🙏🙏,es,[],[],[],0,0,1,[],[],https://twitter.com/mezzala_10/status/1404541774601670656,False,,0,,,,,,,,[],,,,
1404540066765049857,1404540066765049857,2021-06-15 02:13:41 IST,2021-06-15,02:13:41,+0530,1228758322230128640,mezzala_10,H.,,Pedri the only one capable of accelerating Spain's plays lol,en,[],[],[],0,0,2,[],[],https://twitter.com/mezzala_10/status/1404540066765049857,False,,0,,,,,,,,[],,,,
1404520707271270402,1404520707271270402,2021-06-15 00:56:46 IST,2021-06-15,00:56:46,+0530,1228758322230128640,mezzala_10,H.,,Pedri and Koke  https://t.co/42q8xy4uGq,et,[],[],['https://pbs.twimg.com/tweet_video_thumb/E33cIi_VcAEbw1E.jpg'],0,0,5,[],[],https://twitter.com/mezzala_10/status/1404520707271270402,False,,1,https://pbs.twimg.com/tweet_video_thumb/E33cIi_VcAEbw1E.jpg,,,,,,,[],,,,
1404498051838795782,1404498051838795782,2021-06-14 23:26:44 IST,2021-06-14,23:26:44,+0530,1228758322230128640,mezzala_10,H.,,Both Lucho and Koeman play Pedri as an interior but cruijffistas on twitter will tell you he's a forward...,en,[],[],[],5,0,10,[],[],https://twitter.com/mezzala_10/status/1404498051838795782,False,,0,,,,,,,,[],,,,
1404495754320744450,1404495754320744450,2021-06-14 23:17:36 IST,2021-06-14,23:17:36,+0530,1228758322230128640,mezzala_10,H.,,No Thiago and Pedri starts. We are coming for the Cup!,en,[],[],[],1,0,2,[],[],https://twitter.com/mezzala_10/status/1404495754320744450,False,https://twitter.com/SeFutbol/status/1404494875962314757,0,,,,,,,,[],,,,
1404183797411704838,1404182475081871360,2021-06-14 02:38:00 IST,2021-06-14,02:38:00,+0530,1228758322230128640,mezzala_10,H.,,@rnithanth Pedri 😋,es,[],[],[],1,0,1,[],[],https://twitter.com/mezzala_10/status/1404183797411704838,False,,0,,,,,,,,"[{'screen_name': 'rnithanth', 'name': 'Nithanth', 'id': '1108634345944682502'}]",,,,
1401089139001348099,1401084648369758212,2021-06-05 13:40:56 IST,2021-06-05,13:40:56,+0530,1228758322230128640,mezzala_10,H.,,@nachiket_nanoti @saltyfarsan Pedri will be starting over Thiago at the Euros btw,en,[],[],[],1,0,1,[],[],https://twitter.com/mezzala_10/status/1401089139001348099,False,,0,,,,,,,,[],,,,
1400892904185352195,1400892904185352195,2021-06-05 00:41:10 IST,2021-06-05,00:41:10,+0530,1228758322230128640,mezzala_10,H.,,Pedri is unreal man,in,[],[],[],0,0,2,[],[],https://twitter.com/mezzala_10/status/1400892904185352195,False,,0,,,,,,,,[],,,,
1400882744255782930,1400881901129273346,2021-06-05 00:00:48 IST,2021-06-05,00:00:48,+0530,1228758322230128640,mezzala_10,H.,,"@namlaajay Off the ball, pedri is clear for me. Thiago better at evading pressure and delivering the final ball for now..",en,[],[],[],1,0,0,[],[],https://twitter.com/mezzala_10/status/1400882744255782930,False,,0,,,,,,,,"[{'screen_name': 'namlaajay', 'name': '.', 'id': '1065242787560472576'}]",,,,
