,Candidate Name,Party,Criminal Cases,Education,Age,Assets,Liabilities,District,Election,EduRank
0,Adv. Jacob Abraham,Kerala Congress,0,Graduate Professional,64,"Rs 1,68,11,096 ~ 1 Crore+",Rs 0 ~,ALAPPUZHA,Kerela2021,0
1,Adv. Niyaz Bharati,IND,1,Graduate Professional,45,"Rs 69,67,392 ~ 69 Lacs+","Rs 24,39,152 ~ 24 Lacs+",ALAPPUZHA,Kerela2021,0
2,Adv. R. Sajilal,CPI,2,Graduate Professional,43,"Rs 20,06,008 ~ 20 Lacs+",Rs 0 ~,ALAPPUZHA,Kerela2021,0
3,Adv. Shanimol Osman,INC,7,Post Graduate,54,"Rs 2,50,60,619 ~ 2 Crore+","Rs 16,73,922 ~ 16 Lacs+",ALAPPUZHA,Kerela2021,0
4,Adv. U. Prathibha,CPI(M),4,Graduate Professional,43,"Rs 49,57,316 ~ 49 Lacs+","Rs 24,92,505 ~ 24 Lacs+",ALAPPUZHA,Kerela2021,0
5,Adv.P S Jyothis,Bharath Dharma Jana Sena,0,Graduate Professional,54,"Rs 1,09,54,698 ~ 1 Crore+","Rs 45,90,000 ~ 45 Lacs+",ALAPPUZHA,Kerela2021,0
6,Adv.S Sarath,INC,7,Post Graduate,37,"Rs 53,51,013 ~ 53 Lacs+","Rs 26,75,394 ~ 26 Lacs+",ALAPPUZHA,Kerela2021,0
7,Adv.Sonnymon K Mathew,IND,0,Graduate Professional,45,"Rs 2,50,00,000 ~ 2 Crore+","Rs 1,25,000 ~ 1 Lacs+",ALAPPUZHA,Kerela2021,0
8,Ambika K N (Priyanka Anup),Democratic Social Justice Party,1,10th Pass,50,"Rs 14,10,000 ~ 14 Lacs+",Rs 0 ~,ALAPPUZHA,Kerela2021,0
9,Aniyappan,Bharath Dharma Jana Sena,0,Post Graduate,49,"Rs 3,00,12,506 ~ 3 Crore+","Rs 76,90,081 ~ 76 Lacs+",ALAPPUZHA,Kerela2021,0
10,Anoop Antony Joseph,BJP,2,Graduate Professional,36,"Rs 78,39,282 ~ 78 Lacs+",Rs 0 ~,ALAPPUZHA,Kerela2021,0
11,Aritha Babu,INC,9,Graduate,26,"Rs 1,89,387 ~ 1 Lacs+","Rs 32,124 ~ 32 Thou+",ALAPPUZHA,Kerela2021,7
12,Arun Kumar,CPI(M),5,Graduate,31,"Rs 12,56,500 ~ 12 Lacs+","Rs 3,07,021 ~ 3 Lacs+",ALAPPUZHA,Kerela2021,7
13,Biju Xavier,SUCI(C),3,10th Pass,44,"Rs 7,06,550 ~ 7 Lacs+",Rs 0 ~,ALAPPUZHA,Kerela2021,0
14,Chandran,IND,0,12th Pass,52,"Rs 21,21,000 ~ 21 Lacs+","Rs 3,50,000 ~ 3 Lacs+",ALAPPUZHA,Kerela2021,0
15,Daleema,CPI(M),0,10th Pass,55,"Rs 1,02,09,000 ~ 1 Crore+",Rs 0 ~,ALAPPUZHA,Kerela2021,0
16,Dr. Vinu,Democratic Social Justice Party,0,Doctorate,44,"Rs 89,77,007 ~ 89 Lacs+","Rs 12,66,419 ~ 12 Lacs+",ALAPPUZHA,Kerela2021,10
17,Dr.K.S Manoj,INC,0,Graduate Professional,55,"Rs 5,87,91,026 ~ 5 Crore+",Rs 0 ~,ALAPPUZHA,Kerela2021,0
18,Geevarghese Samuel,IND,0,8th Pass,55,"Rs 62,50,000 ~ 62 Lacs+","Rs 12,00,000 ~ 12 Lacs+",ALAPPUZHA,Kerela2021,0
19,Gopinathan,SUCI(C),0,10th Pass,63,"Rs 3,13,218 ~ 3 Lacs+",Rs 0 ~,ALAPPUZHA,Kerela2021,0
20,H.Salam,CPI(M),7,12th Pass,48,"Rs 40,30,336 ~ 40 Lacs+","Rs 1,20,736 ~ 1 Lacs+",ALAPPUZHA,Kerela2021,0
21,K Prathapan,SUCI(C),0,12th Pass,48,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,ALAPPUZHA,Kerela2021,0
22,K. Soman,BJP,5,10th Pass,55,"Rs 18,28,490 ~ 18 Lacs+","Rs 1,60,000 ~ 1 Lacs+",ALAPPUZHA,Kerela2021,0
23,K.A Vinod,SUCI(C),0,Graduate,45,"Rs 67,397 ~ 67 Thou+",Rs 0 ~,ALAPPUZHA,Kerela2021,7
24,Karthikeyan,IND,0,12th Pass,52,"Rs 18,93,773 ~ 18 Lacs+","Rs 1,11,000 ~ 1 Lacs+",ALAPPUZHA,Kerela2021,0
