,Candidate Name,Party,Criminal Cases,Education,Age,Assets,Liabilities,District,Election,EduRank
0,Ajay Gupta,AAP,0,Graduate Professional,56,"Rs 9,96,42,000 ~ 9 Crore+","Rs 1,48,00,000 ~ 1 Crore+",AMRITSAR,Punjab2017,0
1,Amarjit Singh,IND,0,12th Pass,44,"Rs 54,90,000 ~ 54 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,0
2,Amarjit Singh,IND,0,12th Pass,37,"Rs 90,05,000 ~ 90 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,0
3,Amarpal Singh,SAD,0,12th Pass,41,"Rs 7,23,23,589 ~ 7 Crore+","Rs 51,00,000 ~ 51 Lacs+",AMRITSAR,Punjab2017,0
4,Amita,Democratic Party of India (Ambedkar),0,Illiterate,58,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,AMRITSAR,Punjab2017,1
5,Amrik Singh,Revolutionary Marxist Party of India,0,Others,58,"Rs 5,14,000 ~ 5 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,0
6,Amrik Singh,Shiromani Akali Dal (A)(Simranjit Singh Mann),0,5th Pass,58,"Rs 10,13,000 ~ 10 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,0
7,Anil Joshi,BJP,3,12th Pass,52,"Rs 2,58,63,557 ~ 2 Crore+","Rs 22,44,474 ~ 22 Lacs+",AMRITSAR,Punjab2017,0
8,Ankush,IND,0,12th Pass,30,"Rs 75,500 ~ 75 Thou+",Rs 0 ~,AMRITSAR,Punjab2017,0
9,Ashok Kumar,Democratic Swaraj Party,0,10th Pass,51,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,AMRITSAR,Punjab2017,0
10,Avtar Singh,IND,0,5th Pass,32,"Rs 6,49,375 ~ 6 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,0
11,Bal Krishan Sharma,IND,0,10th Pass,56,"Rs 58,17,766 ~ 58 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,0
12,Baldev Singh,CPI,0,Post Graduate,62,"Rs 61,25,000 ~ 61 Lacs+","Rs 11,00,000 ~ 11 Lacs+",AMRITSAR,Punjab2017,0
13,Baljit Singh,Aapna Punjab Party,0,12th Pass,48,"Rs 6,49,475 ~ 6 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,0
14,Balwinder Singh,BSP,0,Graduate,56,"Rs 39,91,000 ~ 39 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,7
15,Balwinder Singh,IND,0,Graduate,72,"Rs 26,91,000 ~ 26 Lacs+","Rs 12,09,942 ~ 12 Lacs+",AMRITSAR,Punjab2017,7
16,Balwinder Singh,Democratic Swaraj Party,1,8th Pass,59,"Rs 22,00,000 ~ 22 Lacs+","Rs 3,68,059 ~ 3 Lacs+",AMRITSAR,Punjab2017,0
17,Balwinder Singh Sahota,AAP,0,Post Graduate,39,"Rs 40,04,114 ~ 40 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,0
18,Bikram Singh,SAD,0,Graduate,41,"Rs 25,22,80,202 ~ 25 Crore+","Rs 1,16,62,521 ~ 1 Crore+",AMRITSAR,Punjab2017,7
19,Dalbir Singh,AAP,0,12th Pass,33,"Rs 17,62,077 ~ 17 Lacs+","Rs 2,68,408 ~ 2 Lacs+",AMRITSAR,Punjab2017,0
20,Dalbir Singh,SAD,0,Graduate Professional,63,"Rs 60,49,350 ~ 60 Lacs+","Rs 1,50,435 ~ 1 Lacs+",AMRITSAR,Punjab2017,0
21,Dalip Singh,Aapna Punjab Party,0,12th Pass,Unknown,"Rs 5,24,160 ~ 5 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,0
22,Dalvir Kaur,IND,0,Illiterate,54,"Rs 1,90,000 ~ 1 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,1
23,Deepak,IND,0,8th Pass,33,"Rs 13,500 ~ 13 Thou+",Rs 0 ~,AMRITSAR,Punjab2017,0
24,Dhanwant Singh,IND,0,10th Pass,58,"Rs 38,45,800 ~ 38 Lacs+","Rs 2,22,044 ~ 2 Lacs+",AMRITSAR,Punjab2017,0
25,Dr. Suba Singh,Democratic Swaraj Party,0,Doctorate,70,"Rs 22,70,000 ~ 22 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,10
26,Gagandeep Kumar,IND,0,Post Graduate,34,"Rs 2,01,01,718 ~ 2 Crore+",Rs 0 ~,AMRITSAR,Punjab2017,0
27,Gaurav Mehra,Shiromani Lok Dal Party,0,Graduate,34,"Rs 62,05,000 ~ 62 Lacs+","Rs 9,00,000 ~ 9 Lacs+",AMRITSAR,Punjab2017,7
28,Gulzar Singh Ranike,SAD,0,Literate,59,"Rs 7,66,11,965 ~ 7 Crore+",Rs 0 ~,AMRITSAR,Punjab2017,2
29,Gurdeep Singh,CPI,0,Others,55,"Rs 40,98,000 ~ 40 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,0
30,Gurjit Kaur,IND,0,12th Pass,40,"Rs 4,75,000 ~ 4 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,0
31,Gurnam Kaur,CPI,1,8th Pass,63,"Rs 2,85,942 ~ 2 Lacs+",Rs 0 ~,AMRITSAR,Punjab2017,0
32,Gurnam Singh,Revolutionary Marxist Party of India,0,8th Pass,60,"Rs 1,15,96,659 ~ 1 Crore+","Rs 8,98,000 ~ 8 Lacs+",AMRITSAR,Punjab2017,0
33,Gurpartap Singh Tikka,SAD,0,12th Pass,45,"Rs 1,66,39,344 ~ 1 Crore+",Rs 0 ~,AMRITSAR,Punjab2017,0
34,Harbhajan Singh,AAP,0,Graduate,48,"Rs 77,36,882 ~ 77 Lacs+","Rs 42,23,599 ~ 42 Lacs+",AMRITSAR,Punjab2017,7
35,Harbhajan Singh,IND,0,Illiterate,49,"Rs 70,500 ~ 70 Thou+",Rs 0 ~,AMRITSAR,Punjab2017,1
36,Hardeep Singh,Bahujan Samaj Party (Ambedkar),0,Graduate Professional,37,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,AMRITSAR,Punjab2017,0
